player,position,team,weight,usd,usd_per_troy_oz,headshot
Joe Burrow,QB,Bengals,215,55000000,17541.568334215994,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jzzqz5ubkilrn9dpxtlp"
Josh Allen,QB,Bills,233,43000000,12654.841923513606,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lq4ezafbszwwt2qsvhqv"
Justin Herbert,QB,Chargers,237,52500000,15189.908137511547,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vvwim9hpgq1zs3bufmr0"
Lamar Jackson,QB,Ravens,200,52000000,17828.612179684984,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cruqs6qpbykh7a2whd7p"
Patrick Mahomes,QB,Chiefs,225,45000000,13714.31706129614,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qrdbvu4iqy7wkqg8jq8d"
Jalen Hurts,QB,Eagles,222,51000000,15752.931759596917,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/k2p5yb4qmqwoo3qcapgt"
Kyler Murray,QB,Cardinals,195,46100000,16211.026064762873,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lsladvvsaptc29bbcah2"
Deshaun Watson,QB,Browns,221,46000000,14272.818661077432,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/otfs2docj6eahaebo5xn"
Dak Prescott,QB,Cowboys,226,40000000,12136.56377105853,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xmtaggdnhuyl4pdwtv8j"
Jordan Love,QB,Packers,225,55000000,16761.943074917504,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/a8xqle2vmsnumawdhswb"
Trevor Lawrence,QB,Jaguars,220,55000000,17142.896326620175,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ftznnho2rk2xzrculbob"
Tua Tagovailoa,QB,Dolphins,217,53100000,16779.498524304727,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xzdbwt2ezmxk3pjcsr1n"
Jared Goff,QB,Lions,215,53000000,16903.693122062687,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jxyaiwwkabzmmphouxil"
Matt Stafford,QB,Rams,232,40000000,11822.68712180702,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xdlnnbapdbk8trxqlasu"
Daniel Jones,QB,Giants,220,40000000,12467.560964814673,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zrhniboizqpxtdyz6gez"
Kirk Cousins,QB,Falcons,209,45000000,14764.216932017378,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yt6n07jezvfmcsoq0j13"
Aaron Rodgers,QB,Jets,225,37500000,11428.597551080118,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jdcb4nomlc4rd6k5l6to"
Derek Carr,QB,Saints,220,37500000,11688.338404513755,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qsz1pyrlu6bmvby6maaf"
Baker Mayfield,QB,Buccaneers,215,33333333.000000004,10631.253429575947,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xrbgtbyy8a7l0ux13hjy"
Geno Smith,QB,Seahawks,221,25000000,7756.966663629039,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/izkm5yyxybb5uy5dkcgf"
